      Jm={	[6,2],[7,6],2,[8,3,4,9],[7,1],[1,7,9,4],[4,8,2],[3,1,9,10,2],[2,10,3,4,5],[9,10],[7,2,4],[1,6,5,10],0,0;
	[7,6],[2,10,5,8],[6,2],[2,1],[3,7],[4,10,5,7],[3,1,5,13],[3,1,9,10,2],[4,8,2],[8,3,4,9],[1,5,10,3],[9,10],[5,2],0;
	[3,1,5,13,],[2,1],[7,1],[6,2],[1,6,5,10],[9,10],[3,1,9,10,2],[8,3,4,9],[2,10,5,8],[3,7],[2,9],0,0,0;
	[4,10,5,7],[3,1,9,10,2],15,5,[9,10],[7,6],[1,5,10,3],[10,6],[2,9],[4,8,2],[8,3,4,9],0,0,0;
	[7,6],[9,10],[5,7,10,2],[10,6],[1,5,10,3],[7,1],[3,1,5,13],5,[2,10,5,8],[1,2,9],[1,6,5,10],[2,1],[4,10,5,7],[3,1,9,10,2];
	[1,2,9],[7,1],[8,3,4,9],[2,9],[5,7,10,2],[1,6,5,10],[7,6],5,[7,2,4],[3,1,5,13],15,0,0,0;
	5,[7,6],[2,1],[9,10],[8,3,4,9],[1,2,9],[7,2,4],[2,10,5,8],[1,6,5,10],15,[7,10,6,4],[3,1,5,13],[1,5,10,3],[7,1];
	[8,3,4,9],[10,6],[5,7,10,2],[4,8,2],[2,10,3,4,5],[1,2,9],[3,1,5,13],[7,2,4],[7,10,6,4],[1,6,5,10],[6,2],[1,5,10,3],[2,10,5,8],0;
	[7,6],[7,2,4],[8,3,4,9],[9,10],[2,10,5,8],[4,8,2],[7,10,6,4],[2,10,3,4,5],[1,7,9,4],[6,2],[2,1],0,0,0;
	[9,10],15,[2,9],[1,2,9],[2,10,3,4,5],[1,6,5,10],[2,10,5,8],[1,5,10,3],[6,2],[3,7],[4,10,5,7],[8,3,4,9],0,0;
	[2,10,3,4,5],[5,7,10,2],[7,10,6,4],[9,10],15,[2,1],[4,8,2],[2,9],[8,3,4,9],[1,5,10,3],0,0,0,0;
	[10,6],15,[9,10],[1,7,9,4],[3,1,5,13],[4,8,2],[7,2,4],5,[1,6,5,10],[2,10,5,8],[7,1],0,0,0;
	[7,2,4],[2,9],[1,7,9,4],[5,7,10,2],[1,2,9],[1,5,10,3],[6,2],[7,6],[3,1,9,10,2],[8,3,4,9],[4,8,2],0,0,0;
	[5,2],[8,3,4,9],[7,1],[6,2],[3,1,5,13],15,[9,10],[1,5,10,3],[4,8,2],[3,7],0,0,0,0;
	[8,3,4,9],15,[1,2,9],[7,10,6,4],[2,10,5,8],[1,7,9,4],[7,2,4],[10,6],[9,10],[3,7],[6,2],[3,1,5,13],0,0;
	[7,6],15,[2,9],[1,7,9,4],5,[3,1,5,13],[4,8,2],[1,2,9],[4,10,5,7],[6,2],[9,10],[5,2],[3,1,9,10,2],[10,6];
	[7,10,6,4],[2,10,3,4,5],[4,8,2],[7,6],[10,6],[2,10,5,8],[8,3,4,9],[3,1,5,13],[6,2],[7,1],[1,5,10,3],[2,9],[3,1,9,10,2],0;
	[7,10,6,4],[1,6,5,10],[2,10,5,8],[10,6],[2,9],[5,2],[2,10,3,4,5],[6,2],[1,2,9],5,[4,10,5,7],0,0,0;
	[2,9],[6,2],[4,8,2],[7,1],[3,7],15,[1,5,10,3],[1,2,9],[10,6],[2,1],[7,2,4],[3,1,5,13],[5,7,10,2],0;
	[1,5,10,3],[1,2,9],[3,1,5,13],[2,9],[2,10,5,8],15,[5,7,10,2],[8,3,4,9],[7,6],[1,7,9,4],[7,10,6,4],[3,7],[7,1],0};


         T={	[5,5],[11,11],5,[10,18,10,7],[9,7],[8,14,12,7],[13,8,6],[8,19,13,19,16],[16,9,12,11,15],[10,5],[5,8,7],[6,13,11,7],0,0;
