Jm={	[7,8,4,5],[3,4],[8,7,6,3],[5,2,7,3],[5,6],[4,5,8],5,1,[5,2,1,8,3],[7,6,8];
	[8,7,6,3],1,[2,4,],[5,2,1,8,3],[4,1,2,6,3],[6,7],[7,8,4,5],[5,2,7,3],[4,1,6,8],[7,6,8];
	[3,5],[5,2,7,3],[3,4],[5,6],[4,1,6,8],[7,6,8],[4,1,2,6,3],[4,5,8],1,[2,4];
	[3,4],[3,5],[4,1,2,6,3],[4,1,6,8],[6,7],[5,2,7,3],5,[8,7,6,3],1,[5,6];
	[6,7],[7,6,8],5,[7,8,4,5],[4,1,2,6,3],[5,2,7,3],[4,5,8],[5,6],[3,5],[5,2,1,8,3];
	[2,4],[6,7],[3,4],[8,7,6,3],[4,1,2,6,3],[5,2,1,8,3],[4,1,6,8],[7,8,4,5],[5,6],[3,5];
	[5,2,1,8,3],[4,1,6,8],[2,4,],1,[6,7],[5,2,7,3],5,[4,1,2,6,3],[3,4],[7,6,8];
	[7,6,8],1,[7,8,4,5],[6,7],[5,2,1,8,3],[4,1,6,8],[4,1,2,6,3],[2,4],[3,4],[3,5];
	1,[5,2,1,8,3],[8,7,6,3],[7,6,8],[6,7],[4,1,6,8],5,[2,4],[4,1,2,6,3],[7,8,4,5];
	1,[6,7],[4,5,8],[4,1,2,6,3],[4,1,6,8],[3,4],[5,6],[7,6,8],[8,7,6,3],[5,2,1,8,3];
	[2,4],[7,6,8],[8,7,6,3],[3,4],[5,6],1,[3,5],[4,5,8],[5,2,1,8,3],[4,1,2,6,3];
	[4,1,6,8],[4,5,8],[8,7,6,3],1,[4,1,2,6,3],[7,6,8],5,2[3,5],[7,8,4,5],[2,4];
	[5,2,1,8,3],5,[3,4],[5,2,7,3],[6,7],[8,7,6,3],[7,8,4,5],[4,1,2,6,3],[5,6],[4,1,6,8];
	[8,7,6,3],[4,5,8],[2,4],[5,2,7,3],[5,6],[3,4],[6,7],5,[4,1,2,6,3],1;
	[5,2,1,8,3],[5,6],[6,7],[7,8,4,5],[8,7,6,3],1,[4,1,2,6,3],[4,5,8],[3,4],[5,2,7,3]};

T={	[15,11,5,19],[18,5],[18,3,11,16],[7,1,2,19],[6,3],[5,2,18],2,17,[10,10,12,5,14],[15,2,19];
	[18,3,11,16],17,[1,13],[10,10,12,5,14],[11,9,18,18,13],[15,13],[15,11,5,19],[7,1,2,19],[11,7,13,3],[15,2,19];
	[3,5],[7,1,2,19],[18,5],[6,3],[11,7,13,3],[15,2,19],[11,9,18,18,13],[5,2,18],17,[1,13];
	[18,5],[3,5],[11,9,18,18,13],[11,7,13,3],[15,13],[7,1,2,19],2,[18,3,11,16],17,[6,3];
	[15,13],[15,2,19],2,[15,11,5,19],[11,9,18,18,13],[7,1,2,19],[5,2,18],[6,3],[3,5],[10,10,12,5,14];
	[1,13],[15,13],[18,5],[18,3,11,16],[11,9,18,18,13],[10,10,12,5,14],[11,7,13,3],[15,11,5,19],[6,3],[3,5];
	[10,10,12,5,14],[11,7,13,3],[1,13],17,[15,13],[7,1,2,19],2,[11,9,18,18,13],[18,5],[15,2,19];
	[15,2,19],17,[15,11,5,19],[15,13],[10,10,12,5,14],[11,7,13,3],[11,9,18,18,13],[1,13],[18,5],[3,5];
	17,[10,10,12,5,14],[18,3,11,16],[15,2,19],[15,13],[11,7,13,3],2,[1,13],[11,9,18,18,13],[15,11,5,19];
	17,[15,13],[5,2,18],[11,9,18,18,13],[11,7,13,3],[18,5],[6,3],[15,2,19],[18,3,11,16],[10,10,12,5,14];
	[1,13],[15,2,19],[18,3,11,16],[18,5],[6,3],17,[3,5],[5,2,18],[10,10,12,5,14],[11,9,18,18,13];
	[11,7,13,3],[5,2,18],[18,3,11,16],17,[11,9,18,18,13],[15,2,19],2,[3,5],[15,11,5,19],[1,13];
	[10,10,12,5,14],2,[18,5],[7,1,2,19],[15,13],[18,3,11,16],[15,11,5,19],[11,9,18,18,13],[6,3],[11,7,13,3];
	[18,3,11,16],[5,2,18],[1,13],[7,1,2,19],[6,3],[18,5],[15,13],2,[11,9,18,18,13],17;
	[10,10,12,5,14],[6,3],[15,13],[15,11,5,19],[18,3,11,16],17,[11,9,18,18,13],[5,2,18],[18,5],[7,1,2,19]};

 RouN=[10;10;10;10;10;10;10;10;10;10;10;10;10;10;10];
